Time,20-3 - Temperature,17-2 - Temperature,61-3 - Temperature,53-3 - Temperature,53-3 - Pressure,69 - Temperature,69 - Pressure,81 - Temperature,81 - Pressure,5-2 - Mass Flow,108 - Mass Flow,89-2 - Mass Flow,1 - Temperature,1 - Mass Flow,LIC506 - PV,LIC502 - PV,81 - Mass Flow,86 - Temperature,71-2 - Temperature,67 - Mass Flow,34-2 - Temperature,34-2 - Pressure,34-2 - Mass Flow,LIC508 - OP
[seconds],[C],[C],[C],[C],[kPa],[C],[kPa],[C],[kPa],[kg/h],[kg/h],[kg/h],[C],[kg/h],[%],[%],[kg/h],[C],[C],[kg/h],[C],[kPa],[kg/h],[%]
369351,7.89425,-7.2696,1.14812,-32.9991,101.3,103.996,556.789,111.105,1049.24,4.36863,11624.7,8676.31,59.66,0,9.99934,50.0094,11638.2,15.1063,10.6237,89765.1,158.191,101.3,2.07E-31,0.37125
369361,7.89906,-7.26626,1.15517,-32.9991,101.3,103.988,556.838,111.102,1049.26,4.0099,11625.8,8677.3,59.66,0,9.99901,50.0048,11640.5,15.1062,10.6214,89782.1,158.191,101.3,2.07E-31,0.370593
369371,7.90478,-7.26237,1.1621,-32.9991,101.3,103.982,556.889,111.096,1049.27,3.86403,11627,8678.45,59.66,0,9.99876,49.9991,11643.3,15.1062,10.6188,89798.4,158.191,101.3,2.07E-31,0.369997
369381,7.90409,-7.25887,1.16882,-32.9991,101.3,103.976,556.942,111.092,1049.3,3.58292,11628.5,8679.9,59.66,0,9.99838,49.9931,11645.6,15.1062,10.6144,89812.9,158.191,101.3,2.07E-31,0.369376
369391,7.90877,-7.25457,1.17553,-32.9991,101.3,103.969,556.989,111.088,1049.31,3.34357,11630.1,8681.39,59.66,0,9.99793,49.9869,11648,15.1066,10.6136,89827.2,158.191,101.3,2.07E-31,0.368799
369401,7.91297,-7.25046,1.18178,-32.9991,101.3,103.964,557.035,111.084,1049.32,3.13959,11631.8,8682.99,59.66,0,9.9974,49.9802,11650.4,15.1073,10.6111,89843.2,158.191,101.3,2.07E-31,0.368206
369411,7.91246,-7.24603,1.18799,-32.9991,101.3,103.956,557.072,111.081,1049.33,3.0296,11633.7,8684.72,59.66,0,9.9968,49.9734,11652.4,15.1079,10.6084,89859.8,158.191,101.3,2.07E-31,0.367628
369421,7.91745,-7.24158,1.19383,-32.9991,101.3,103.953,557.12,111.078,1049.35,2.59485,11635.8,8686.64,59.66,0,9.99612,49.9666,11654.6,15.1089,10.6061,89876.5,158.191,101.3,2.07E-31,0.367068
369431,7.91685,-7.23477,1.20101,-32.9991,101.3,103.944,557.164,111.074,1049.37,2.22078,11637.9,8688.57,59.66,0,9.99529,49.9598,11656.7,15.1099,10.6034,89893.1,158.191,101.3,2.07E-31,0.366526
369441,7.92164,-7.23001,1.20526,-32.9991,101.3,103.939,557.203,111.071,1049.37,1.91761,11640,8690.52,59.66,0,9.99435,49.9531,11658.8,15.1113,10.601,89909.6,158.191,101.3,2.07E-31,0.366003
369451,7.92106,-7.22732,1.21186,-32.9991,101.3,103.934,557.25,111.069,1049.4,1.20775,11642.4,8692.65,59.66,0,9.99344,49.9465,11661,15.1127,10.5985,89925.6,158.191,101.3,2.07E-31,0.365458
369461,7.92517,-7.2226,1.2173,-32.9991,101.3,103.929,557.287,111.066,1049.41,0.792889,11644.7,8694.73,59.66,0,9.99246,49.9401,11662.8,15.1142,10.5964,89940.8,158.191,101.3,2.07E-31,0.364927
369471,7.92467,-7.2177,1.22255,-32.9991,101.3,103.922,557.331,111.062,1049.42,0.437431,11647.1,8696.87,59.66,0,9.99134,49.9338,11665.1,15.1158,10.5942,89955.4,158.191,101.3,2.08E-31,0.364411
369481,7.92847,-7.21294,1.22772,-32.9991,101.3,103.917,557.375,111.059,1049.45,-4.33E-08,11649.6,8699.08,59.66,0,9.9903,49.9278,11667.1,15.1176,10.5924,89969.2,158.191,101.3,2.08E-31,0.36391
369491,7.92801,-7.20814,1.23138,-32.9991,101.3,103.911,557.413,111.056,1049.46,-3.03E-08,11652.1,8701.26,59.66,0,9.98915,49.9221,11669,15.1195,10.5905,89982.1,158.191,101.3,2.08E-31,0.363422
369501,7.92801,-7.2013,1.2377,-32.9991,101.3,103.906,557.447,111.053,1049.45,0.0972669,11654.4,8703.32,59.66,0,9.988,49.9167,11671,15.1219,10.589,89994.3,158.191,101.3,2.08E-31,0.362949
369511,7.93293,-7.19645,1.2424,-32.9991,101.3,103.901,557.501,111.057,1049.49,0.240242,11657.1,8705.64,59.66,0,9.98675,49.9116,11673,15.1241,10.5872,90005.8,158.191,101.3,2.08E-31,0.362491
369521,7.93293,-7.19374,1.24539,-32.9991,101.3,103.897,557.555,111.052,1049.53,0.015194,11659.8,8707.97,59.66,0,9.98548,49.9066,11675.4,15.1261,10.586,90016.8,158.191,101.3,2.08E-31,0.362048
369531,7.93293,-7.18898,1.2502,-32.9991,101.3,103.89,557.59,111.047,1049.54,-7.62E-09,11662.3,8710.15,59.66,0,9.9842,49.9021,11677.2,15.1283,10.5847,90027.4,158.191,101.3,2.08E-31,0.361619
369541,7.93392,-7.1843,1.25603,-32.9991,101.3,103.882,557.635,111.041,1049.57,-2.15E-08,11665,8712.43,59.66,0,9.98292,49.8978,11679.4,15.1307,10.5824,90037.8,158.191,101.3,2.08E-31,0.361205
369551,7.93877,-7.17961,1.26049,-32.9991,101.3,103.875,557.678,111.036,1049.58,-8.90E-08,11667.5,8714.63,59.66,0,9.98164,49.8935,11681.6,15.1332,10.5831,90047.9,158.191,101.3,2.08E-31,0.360806
369561,7.93824,-7.17508,1.26458,-32.9991,101.3,103.871,557.725,111.035,1049.62,-9.27E-08,11670.4,8717.01,59.66,0,9.98035,49.8896,11683.5,15.1358,10.5831,90057.9,158.191,101.3,2.08E-31,0.360422
369571,7.94199,-7.17045,1.26857,-32.9991,101.3,103.866,557.756,111.031,1049.61,-2.93E-08,11672.8,8719.03,59.66,0,9.97902,49.8861,11685.5,15.1388,10.5816,90067.8,158.191,101.3,2.08E-31,0.360053
369581,7.94153,-7.16595,1.2724,-32.9991,101.3,103.861,557.809,111.03,1049.67,-2.23E-08,11675.6,8721.43,59.66,0,9.97773,49.8828,11687.4,15.1415,10.5816,90077.5,158.191,101.3,2.08E-31,0.359699
369591,7.94153,-7.16152,1.27612,-32.9991,101.3,103.855,557.847,111.026,1049.67,-6.79E-08,11678.1,8723.53,59.66,0,9.97653,49.8799,11689.4,15.1444,10.5816,90087.1,158.191,101.3,2.08E-31,0.359359
369601,7.94509,-7.15729,1.27972,-32.9991,101.3,103.849,557.882,111.023,1049.68,-6.92E-08,11680.6,8725.64,59.66,0,9.97537,49.8772,11691.2,15.1474,10.5816,90096.5,158.191,101.3,2.08E-31,0.359033
369611,7.94509,-7.15309,1.2832,-32.9991,101.3,103.844,557.924,111.022,1049.72,-6.39E-08,11683.3,8727.86,59.66,0,9.97422,49.8748,11692.9,15.1504,10.5816,90105.6,158.191,101.3,2.08E-31,0.35872
369621,7.94509,-7.14884,1.28659,-32.9991,101.3,103.84,557.963,111.019,1049.74,-5.05E-08,11685.9,8729.95,59.66,0,9.97315,49.8726,11694.7,15.1535,10.5835,90114.4,158.191,101.3,2.08E-31,0.35842
369631,7.94933,-7.14477,1.2899,-32.9991,101.3,103.834,558.004,111.016,1049.76,-4.05E-08,11688.4,8732.04,59.66,0,9.97217,49.8707,11696.6,15.1567,10.5829,90123.1,158.191,101.3,2.08E-31,0.358134
369641,7.94933,-7.14078,1.29308,-32.9991,101.3,103.83,558.044,111.014,1049.78,-3.13E-08,11690.9,8734.1,59.66,0,9.97124,49.8691,11698.4,15.1599,10.585,90131.3,158.191,101.3,2.08E-31,0.35786
369651,7.94933,-7.13689,1.29622,-32.9991,101.3,103.825,558.087,111.011,1049.81,-2.62E-08,11693.3,8736.14,59.66,0,9.97032,49.8676,11700.4,15.1632,10.5843,90139.3,158.191,101.3,2.08E-31,0.357598
